Short description,Description,Caller,Assignment group,language,cleaned_description,descr_len,num_wds,avg_word,uniq_wds,tokenized_desc
login issue,"-verified user details.(employee# & manager name)
-checked the user name in ad and reset the password.
-advised the user to login and check.
-caller confirmed that he was able to login.
-issue resolved.",spxjnwir pjlcoqds,GRP_0,en,login issue verified user detail employee manager name checked ad reset password advised check caller confirmed able resolved,125,18,6.0,18,login issue verified user detail employee manager name checked ad reset password advised check caller confirmed able resolved
outlook,"

received from: hmjdrvpb.komuaywn@gmail.com

hello team,

my meetings/skype meetings etc are not appearing in my outlook calendar, can somebody please advise how to correct this?

kind ",hmjdrvpb komuaywn,GRP_0,en,outlook team meeting skype etc appearing calendar somebody advise correct t,75,11,5.909090909090909,11,outlook team meeting skype etc appearing calendar somebody advise correct t
cant log in to vpn,"

received from: eylqgodm.ybqkwiam@gmail.com

hi

i cannot log on to vpn

best ",eylqgodm ybqkwiam,GRP_0,en,cannot log vpn,14,3,4.0,3,cannot log vpn
unable to access hr_tool page,unable to access hr_tool page,xbkucsvz gcpydteq,GRP_0,en,unable access hr tool page,26,5,4.4,5,unable access hr tool page
skype error ,skype error ,owlgqjme qhcozdfx,GRP_0,no,skype error,11,2,5.0,2,skype error
unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,eflahbxn ltdgrvkz,GRP_0,en,unable log engineering tool skype,33,5,5.8,5,unable log engineering tool skype
event: critical:HostName_221.company.com the value of mountpoint threshold for /oracle/SID_37/erpdata21/ ,"event: critical:HostName_221.company.com the value of mountpoint threshold for /oracle/SID_37/erpdata21/sr3psa1d_7/sr3psa1d.data7,perpsr3psa1d,4524 is 98",jyoqwxhz clhxsoqy,GRP_1,en,event critical value mountpoint threshold oracle,48,6,7.166666666666667,6,event critical value mountpoint threshold oracle
ticket_no1550391- employment status - new non-employee [enter user's name],ticket_no1550391- employment status - new non-employee [enter user's name],eqzibjhw ymebpoih,GRP_0,en,employment status new non employee,34,5,6.0,5,employment status new non employee
unable to disable add ins on outlook,unable to disable add ins on outlook,mdbegvct dbvichlg,GRP_0,en,unable disable add in outlook,29,5,5.0,5,unable disable add in outlook
ticket update on inplant_874773,ticket update on inplant_874773,fumkcsji sarmtlhy,GRP_0,en,ticket update,13,2,6.0,2,ticket update
engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,badgknqs xwelumfz,GRP_0,en,engineering tool say connected unable submit report,51,7,6.428571428571429,7,engineering tool say connected unable submit report
hr_tool site not loading page correctly,hr_tool site not loading page correctly,dcqsolkx kmsijcuz,GRP_0,en,hr tool site loading page correctly,35,6,5.0,6,hr tool site loading page correctly
